name,pl_orbper,pl_disc,new_rade,fpl_smax,new_insol
Kepler-157 d,7.02573474,2016,1.46,NA,NA
Kepler-1570 b,26.548955,2016,1.07,NA,NA
Kepler-1571 b,3.38555488,2016,1.52,NA,NA
Kepler-1572 b,5.49548621,2016,0.94,NA,NA
Kepler-1573 b,2.6157554,2016,1.2,NA,NA
Kepler-1574 b,6.9424334,2016,1.29,NA,NA
Kepler-1575 b,2.55314213,2016,1.31,NA,NA
Kepler-1576 b,6.98471973,2016,1.04,NA,NA
Kepler-1577 b,6.30560247,2016,1.13,NA,NA
Kepler-1578 b,1.45088691,2016,1.04,NA,NA
Kepler-1579 b,0.84990789,2016,0.84,NA,NA
Kepler-158 b,16.709184,2014,2.12,0.111,11.840063795758043
Kepler-158 c,28.551383,2014,1.9,0.158,5.843671928678691
Kepler-1580 b,56.6449279,2016,2.11,NA,NA
Kepler-1581 b,6.28385491,2016,0.8,NA,NA
Kepler-1582 b,4.83817712,2016,1.49,NA,NA
Kepler-1583 b,9.32807355,2016,0.6,NA,NA
Kepler-1584 b,13.3997099,2016,1.61,NA,NA
Kepler-1585 b,3.5827463,2016,1.79,NA,NA
Kepler-1586 b,15.6049212,2016,1.52,NA,NA
Kepler-1587 b,9.4060467,2016,1.33,NA,NA
Kepler-1588 b,7.84931739,2016,0.76,NA,NA
Kepler-1589 b,0.99166527,2016,1.09,NA,NA
Kepler-159 b,10.139623,2014,2.38,0.082,24.967341138051165
Kepler-159 c,43.595792,2014,3.41,0.218,3.532539386673176
Kepler-1590 b,7.61760804,2016,1.14,NA,NA
Kepler-1591 b,8.18504949,2016,1.27,NA,NA
Kepler-1592 b,3.05710069,2016,1.54,NA,NA
Kepler-1593 b,174.509835,2016,3.17,0.546,0.5465308915454797
Kepler-1594 b,2.71603809,2016,1.06,NA,NA
Kepler-1595 b,4.56380468,2016,1.23,NA,NA
Kepler-1596 b,66.373379,2016,1.9,NA,NA
Kepler-1597 b,2.94654179,2016,1.06,NA,NA
Kepler-1598 b,4.34195123,2016,0.95,NA,NA
Kepler-1599 b,122.363553,2016,1.62,NA,NA
Kepler-16 b,228.776,2011,8.449,0.7048,0.25169130305634885
Kepler-160 b,4.309427,2014,1.54,0.05,403.7011544306738
Kepler-160 c,13.699087,2014,3.61,0.109,84.946796235728
Kepler-1600 b,386.370548,2016,3.13,NA,NA
Kepler-1601 b,2.20921951,2016,0.82,NA,NA
Kepler-1602 b,11.17931605,2016,1.34,NA,NA
Kepler-1603 b,2.27163926,2016,1.29,NA,NA
Kepler-1604 b,0.68368426,2016,1.41,NA,NA
Kepler-1605 b,85.7565495,2016,1.08,NA,NA
Kepler-1606 b,196.435224,2016,2.07,0.6421,1.2382110065412222
Kepler-1607 b,13.6473676,2016,0.92,NA,NA
Kepler-1608 b,16.4735686,2016,1.73,NA,NA
Kepler-1609 b,114.34219,2016,2.22,NA,NA
Kepler-161 b,4.921355,2014,2.12,0.054,116.46957221893294
Kepler-161 c,7.06424,2014,2.05,0.068,73.44837210000182
Kepler-1610 b,8.70181574,2016,1.61,NA,NA
Kepler-1611 b,5.1762429,2016,0.81,NA,NA
Kepler-1612 b,3.91795101,2016,1.03,NA,NA
Kepler-1613 b,1.5184299,2016,2.08,NA,NA
Kepler-1614 b,3.9466141,2016,1.49,NA,NA
Kepler-1615 b,47.3126192,2016,2.06,NA,NA
Kepler-1616 b,6.76284377,2016,1.02,NA,NA
Kepler-1617 b,27.4785572,2016,1.2,NA,NA
Kepler-1618 b,6.10826019,2016,1.26,NA,NA
Kepler-1619 b,23.6225913,2016,0.76,NA,NA
Kepler-162 b,6.919798,2014,1.26,0.069,254.27392009041841
Kepler-162 c,19.446355,2014,3.03,0.137,64.49987391712303
Kepler-1620 b,101.951829,2016,1.61,NA,NA
Kepler-1621 b,92.263714,2016,2.16,NA,NA
Kepler-1622 b,10.8118737,2016,1.47,NA,NA
Kepler-1623 b,4.36128348,2016,1.31,NA,NA
Kepler-1624 b,3.29030452,2016,5.7,NA,NA
Kepler-1625 b,287.378949,2016,6.06,NA,NA
Kepler-1626 b,4.13962966,2016,2.02,NA,NA
Kepler-1627 b,7.20283653,2016,3.69,NA,NA
Kepler-1628 b,76.378033,2016,6.43,NA,NA
Kepler-1629 b,3.87595807,2016,0.77,NA,NA
Kepler-163 b,7.810937,2014,1.05,0.078,111.12474940696612
Kepler-163 c,21.347262,2014,2.26,0.152,29.262594156508907
Kepler-1630 b,509.997402,2016,2.19,NA,NA
Kepler-1631 b,4.09513932,2016,1.35,NA,NA
Kepler-1632 b,448.303558,2016,2.47,NA,NA
Kepler-1633 b,186.404271,2016,1.58,NA,NA
Kepler-1634 b,374.876239,2016,3.19,NA,NA
Kepler-1635 b,469.63111,2016,3.64,NA,NA
Kepler-1636 b,425.47785,2016,3.23,NA,NA
Kepler-1637 b,6.10960324,2016,0.89,NA,NA
Kepler-1638 b,259.33683,2016,1.87,0.745,4.432895102288415
Kepler-1639 b,9.878482,2016,2.58,NA,NA
Kepler-164 b,5.03503,2014,1.41,0.058,371.6584513132342
Kepler-164 c,10.945723,2014,2.73,0.097,132.8790551830928
Kepler-164 d,28.986769,2014,2.45,0.187,35.75335383390203
Kepler-1640 b,7.5844126,2016,4.82,NA,NA
Kepler-1641 b,19.672266,2016,3.11,NA,NA
Kepler-1641 c,32.657212,2016,2.95,NA,NA
Kepler-1642 b,12.2057513,2016,3.2,NA,NA
Kepler-1642 c,6.6513802,2016,2.66,NA,NA
Kepler-1643 b,5.34264507,2016,2.3,NA,NA
Kepler-1644 b,21.0907758,2016,1.88,NA,NA
Kepler-1645 b,16.1779561,2016,1.78,NA,NA
Kepler-1646 b,4.48558383,2016,1.23,NA,NA
Kepler-1647 b,1107.5923,2016,11.874,2.7205,0.5952542974917255
Kepler-1649 b,8.68909,2017,1.08,0.0514,2.388216871111572
Kepler-165 b,8.180848,2014,2.32,0.072,62.134814646671195
Kepler-165 c,15.31299,2014,2.23,0.11,26.6204032337474
Kepler-1650 b,1.53818001,2017,0.96,NA,NA
Kepler-1651 b,9.87863917,2017,1.84,NA,NA
Kepler-1652 b,38.09722,2017,1.6,0.1654,0.8412575784213381
Kepler-1653 b,140.2524,2017,2.17,0.4706,1.0439895566833395
Kepler-1654 b,1047.8356,2018,9.18,2.026,0.2997237226062135
Kepler-1655 b,11.8728787,2018,2.213,0.103,125.1196585662871
Kepler-1656 b,31.578659,2018,5.02,0.197,25.53098366082011
Kepler-1658 b,3.84937278,2019,11.994,0.0544,4363.170663973068
Kepler-166 b,7.650254,2014,2.27,0.072,78.4034199778574
Kepler-166 c,34.260281,2014,2.38,0.195,10.688844948460556
Kepler-166 d,1.55400393,2016,1.73,NA,NA
Kepler-167 b,4.3931632,2014,1.615,0.0483,115.37341254525143
Kepler-167 c,7.406114,2014,1.548,0.0684,57.529128704706494
Kepler-167 d,21.803855,2016,1.194,0.1405,13.634755405463029
Kepler-167 e,1071.23228,2016,10.15,1.89,0.0753488089338741
Kepler-168 b,4.425391,2014,1.46,0.056,664.6973479264315
Kepler-168 c,13.193242,2014,2.69,0.116,154.91162924325866
Kepler-169 b,3.250619,2014,1.13,0.04,187.44765743672818
Kepler-169 c,6.195469,2014,1.21,0.062,78.02191776762879
